职位名称,职位薪资,员工福利,招聘条件,公司位置,职位描述,公司介绍,课程介绍,培训机构介绍,公司名称,公司业务,公司规模,简历查看率,招聘职位,加入58
房产经纪人,8000-12000元/月,五险一金;包吃;包住;周末双休;年底双薪;房补;话补;交通补助;饭补;加班补助,"招10人;学历不限;经验不限,可接收应届生",广州-白云-江夏 广州白云区黄石北路151-4号首层（江夏地铁站D出口）,"人生需要一个平台.
不管你今天是博士，硕士，没有平台你什么都不是。船停在岸边较安全，但那不是造船的意义；人呆在家里较安全，但那不是做人的价值。
人生需要不断的经历、沉淀，今天的故事都是为了明天更好的起航选择比努力更重要
如果你是一位很想证明自己的90后，不甘于现状的80后，或者是再创一番事业的70后，或者是全职妈妈，如果你想通过自己的努力证明自己，创造自己的事业，让我来助您追梦圆梦！如果您想改变，或您身边优秀的人才请介绍给我！世界很大，让我们一起去看看！欢迎加入我们大家庭
在我们公司·工作态度决定收入:
打酱油：2000
正常做：4000~8000左右
认真做：10000~20000左右
勤奋做：20000~50000左右
全心做：100000以上收入上不封顶……
只要勤奋、好学，你就是王者！要求：年龄18周岁以上，有一定的沟通能力和执行力，积极乐观，想改变并且赚钱欲望强的人士...
全面加薪‼️全面加薪‼️全面加薪‼️
做地产唔系靠底薪！
提成同奖金才可以令你翻身！
加入裕丰，迈向成功
长期招聘以下职位:
店务经理（大店长）注册法定负责人，底薪+提成+40%股份，发展N间直属股份店！
资深营业经理（小店长）底薪+提成+20%股份
1️.营业经理-底薪5300元（欢迎带team加入）
2️.营业主任-底薪5000元（欢迎带team加入）
3️.高级业务经理-底薪5000元
4️.资深业务经理-底薪4700元
5️.业务经理-底薪4400元
6️.高级物业顾问-底薪3800元
7️.物业顾问-底薪3500元","裕丰地产，创建于1995年，是华南地区规模较大及较具影响力的房地产中介服务机构之一。近年来，裕丰地产运用创新的房地产中介商业模式，始终坚持以“帮助房地产经纪人成就终身事业为己任”的理念。令裕丰地产聚集了大批的行业精英。由于拥有这样一支高素质的专业团队，近年来裕丰地产高速发展，获得了令同行瞩目的业绩。如今，裕丰地产已成为经纪人开创事业的良好平台。
裕丰人深知作为一个优秀的企业，必须具有高度的社会责任感及使命感，并且拥有良好的企业文化。裕丰地产自创建以来，始终倡导以儒家思想中的“礼”、“信”、“仁”为指导思想，构建并形成了团结和谐、诚信为本的企业文化。
在以“礼”、“信”、“仁”为核心的企业文化指导下，成功建立了一套民主而又高效的企业管理体制，令每一个裕丰人在富有希望的平台上获得阳光公平的晋升机会。正是这一支充满拼劲和活力的团队，为千万客户提供了优质的居间服务。
裕丰人坚信，在“客户满意、员工满意、社会满意”的企业宗旨引领下，以及拥有这样一支遵纪守法、凝聚力强、能征善战的经纪人团队，加以创新的商业模式及良好的企业文化熏陶，裕丰人必将开创房地产中介行业的新纪元。",,,广州裕丰咨询顾问有限公司,房地产/物业管理,1000人以上,36,27,46月
普工,5000-5800元/月,求职保障;五险一金;包住;包吃;年底双薪;周末双休;交通补助;加班补助;饭补;话补;房补;长白班;坐班;不加班,"招100人;学历不限;经验不限,可接收应届生",深圳-宝安-沙井 深圳市沙井万乐路10,"免费招聘男女（正式工）-（小时工）-（临时工），不收任何费用，请放心报名，
17/小时！ 手机配件打包招50名
【男女比例】:  男女不限
【作业模式】：长白班，坐班，早上８点开始上班，一天10-12个小时
【吃住情况】：包吃住
【工资待遇】：17/时；月收入：5000-6800全勤奖、绩效奖等
【年龄要求】：16－47岁
【工期时间】:可做临时，可做长期
【工作内容】：1、岗位涉上市手机电子产品的组装、组装，检测、插件、品质、测试、物料、等岗位
2、无需经验；生手熟手均可；生手进厂后有老员工带。本企业不收取任何费用",公司主要经营打包装，贴标签简单手工活。工资待遇高，环境好。包吃住,,,广州优索人力资源服务有限公司,咨询/顾问,50-99人,3,161,5月
普工,5800-7300元/月,年底双薪;加班补助;包住;包吃;五险一金;包吃住带无线;长白班坐班普工;每年多次调薪,"招100人;学历不限;经验不限,可接收应届生",广州-海珠 广州海珠广州酒家食品有限公司,"岗位：月饼季节工、质检员、普工、月饼制作、包装工
工期：预计做到9月20-30日之间，具体以工厂规定的生产工期为准
岗位要求：
1、男女不限，18-45岁，无违法记录、纹身、耳钉等
2、身体健康，能通过健康检查，身高不低于150CM，吃苦耐劳，服从安排。
3、适应站立作业，日夜两班倒，适应穿工作服戴口罩，空调车间。
薪资福利：
白班：基本工资16元/小时
夜班：基本工资18元/小时
包吃：吃三餐+夜宵，配有水果、凉茶，伙食特别好！
包住：空调宿舍8人间
空调车间，每天工作8-10小时，月休1-2天，工时足
入职后厂里体检：
1、健康证（100元/人，自费，不报销）
2、核酸检测（75元/人，自费，做满工期后由工厂报销，做不满工期的不报销）
入职时需准备：
1、身份证原件，有磁性，未过期
2、身份证复印件2张，小一寸照片2张
3、住宿的带齐行李
可以直接到厂","广州企业管理有限公司成立于2015年，位于广州番禺。公司主要从事劳务派遣、劳务外包、人才测评与培训、人力资源开发与管理、网络技术等服务。
公司自成立之初，就本着“诚信为本，求实创新”的经营理念，在各级领导的关心指导下，在全体员工的共同努力下，全心全意，脚踏实地的为省内外上百家大中型企业输送各类人才数万人之多，深得用工单位和广大就业者的好评，成为劳务派遣行业的一面旗帜。
业务覆盖整个珠江三角地区，与很多大型企业结为战略性合作伙伴，实现了共同发展，互利双赢。同时，也为广大求职者，特别是高校毕业生提供求职平台和就业指导，实现了个性服务、人尽其才。
与时俱进、继往开来，今后，我们将秉承“以人为本，诚信至上，完善服务，创新服务”的经营宗旨，以全新的思维、不懈的努力、更加专业的服务，为社会各界提供全方位的高效服务！为广州建设做出更大的贡献。",,,广州恒宏网络科技有限公司,人力资源服务+电子技术/半导体/集成电路+咨询/顾问,500-999人,79,79,7月
普工,5800-6800元/月,加班补助;饭补;话补;交通补助;五险一金;房补;包住;包吃;人走帐清;当天安排宿;妹子多,"招200人;学历不限;经验不限,可接收应届生",广州-白云 嘉禾望岗地铁口周边,"x因新开产线，岗位目前可以自由选择，长白班岗位，两班倒岗位，组装部门，包装部门，任选，都可以自由选择。
一、厂区服务：
1、错过面试的朋友，请不要担心，也不用浪费钱去住宿旅馆，我们会给你安排免费住宿，第二天再面试入职；
2、全程贴心服务，完成面试、入职、住宿、报到，省时省力，尽快入职；
3、面试入职之后，持厂牌可去饭堂吃饭，以及在厂区士多消费。
二、招聘要求：
1、年满16-48周岁，男女不限，学历不限；
2、有责任心，服从安排，工作积极、认真；
3、有无工作经验均可，辞职提前7天即可，人走账清；
4、当天应聘人员带齐身份证件，行李物品方便当天安排厂内住宿。
三、岗位职责：
1、普工、操作工、质检员、组装工、包装工、学徒工、品管员、线外、测试、等等！有无经验均可招聘。
2、主要做手机组装，手机摄像头配件生产。坐班，工时有保障，妹子多。分流水线作业与非流水线作业。
四、（小时工/临时工）待遇：
1、小时工:6000-7000元；
2、小时工：22元/小时，225元--270元/天；
3、由于现在是旺季，加班比较多，平均一天上11--12小时左右；
4、加班自由，只要你愿意加班，每月可以上280--330个小时。
5、小时工（临时工）：辞职只需3-7天。临时工较长可以做到年底过年或长期做。
五、（正式工）待遇：
1、正式工：7000--8000元/月
2、每个月10号准时发工资，不压工资，
3、绩效奖：200元/300元，技能津贴300元--500元/月，全勤奖等等。
4、综合底薪：2300--2600元/月，加班统一按当地按劳动法，周一至周五（1.5倍工资），周六至周日（2倍工资），法定节假日（3倍工资）；平均每天加班2-3小时。
5、你可以选择做正式工；也可以选择做小时工，岗位自由。
6、综合工资的高低取决于个人加班时数的多少，不限制几班，可达8000元。
六、工资发放：
1、工资统一以打卡方式发放，每月10号结清上月全部工资；
2、如遇到周六日，会延迟到周一发放，绝不拖欠工资；
3、员工到期离职之后，及时结清全部工资。
七、福利待遇：
1、饭堂提供自助餐模式，迎合南北饮食差异，工作餐有米饭套餐、面条、水饺馒头、面包牛奶、鸡腿、鸡蛋等等；
2、公寓式宿舍，6人／间，设备齐全，空调、衣柜、饮水机和热水器，独立阳台及卫生间，24小时WiFi覆盖；
3、员工享有国家法定假11天，享有工伤假、婚假、丧假、产假、带薪年休假等假期；
4、每个季度免费组织员工旅游，逢节假日举办大型文艺活动，以及抽奖、抢红包等娱乐；
5、统一发放员工生日福利，以及端午、中秋等节日礼金，春节也有开工红包，年末有年终奖500-2000不等，视乎公司经营业绩而定。
【报名方式】
有意向的请直接投递简历/或者直接点击微聊！！！！
有意向的请直接投递简历/或者直接点击微聊！！！！
有意向的请直接投递简历/或者直接点击微聊！！！！",广州雯喜人力资源外包;劳务承揽;以服务外包方式从事职能管理服务和项目管理服务以及人力资源服务和管理;商品零售贸易（许可审批类商品除外）;商品批发贸易（许可审批类商品除外）;酒店从业人员培训;技术进出口;商品信息咨询服务;信息技术咨询服务;建筑劳务分包;公共关系服务;货物进出口（专营专控商品除外）;酒店管理;餐饮管理;贸易咨询服务;企业管理服务（涉及许可经营项目的除外）;企业管理咨询服务;企业形象策划服务;个人形象设计服务;劳务派遣服务;,,,广州市雯喜人力资源管理有限公司,人力资源服务,1-49人,-1,0,13月
客服专员/助理,3000-5000元/月,包住;年底双薪;包吃;房补;旅游,"招5人;学历不限;经验不限,可接收应届生",广州-白云-石井 广州市白云区石井镇榕溪工业大道2号新创展大厦201室,"岗位职责：
1、对商城数据进行整理，采集，上传，杜绝大牌的商标在商城里面出现；
2、处理订单，整理好各项数据，并做出相对应的表格；
3、及时回复客人的疑问；帮助客人解决问题；
4、在你能够独立处理所有店铺的基本操作时，公司可以提供商城店铺给你单独运作
任职资格：
1、熟悉淘宝等无线新媒体运营相关工作经验；
2、关注互联网、移动互联网市场动态
3、服从上级的管理、辅导和工作分配安排。
4、有较强的上进心,责任感,有良好的协作精神和忠诚度;
5、学历要求：好学上进，懂电脑基本操作
6、当然了，没有经验，没关系，我们欢迎优秀的应届毕业生，不会，也没关系，我们有专门的人教你，只需要你有上进心、愿意学习、执行力强。
7、年龄：18-25岁
职业前景：
客服专员-组长-部门主管
温馨提示：完成业绩或超额完成业绩奖金另算，目前公司准备建立100人运营团队，从100人中选取若干组长（从优秀组长中提升3-5名部门主管），团队精英公司将给与若干股份，更多福利待遇将随公司发展逐步完善提高。
工作时间：6天工作制，每天八小时工作制(10:00-12:0013:00-19:00)
办公环境：宽敞明亮，简约高效
管理风格：90后，尊重个性，重视才能，以人为本，氛围和洽快乐高效，每个月不定期聚餐
不要随便投简历，看好了再投(好高骛远和鸽子党勿扰)
一经录用公司提供2餐以及住宿
我们的团队年轻、朝气、温馨而又充满活力！
我们为每一位成员提供广阔的舞台和发展空间！我们的梦想是：开心工作，快乐生活！欢迎有激情、有责任的你加入！",广州电子商务有限公司是一家以互联网技术为核心的电子商务运营商。公司采用先进的网络技术与严谨的管理制度，坚持以“让客户满意，为客户赢利”为服务宗旨，主要从事电子商务会员应用普及、网站建设、维护、推广、托管和网站顾问等业务，并逐步向著名搜索引擎的登录、著名网站的网络广告和网络办公系统等方向发展。公司拥有完整的、专业的运营推广团队和与多类商品厂商合作的经验，已给多家企业及个人带来订单和经济利益。,,,广州生洋电子商务有限公司,互联网/电子商务,100-499人,36,11,35月
咨询顾问,5000-8000元/月,房补;话补;五险一金;包住;包吃,"招10人;学历不限;1-2年,可接收应届生",广州-天河 广州市天河区东莞庄路2号鸿德国际酒店17楼,"工作内容:
1、与顾客VIP式一对一咨询顾客需求，服务流程介绍，专家塑造铺垫，与专家做好顾客情况的对接；
2、提供专业医美知识和项目咨询服务、协助专家成交；
3、来访客户档案整理与管理；
4、顾客售后跟踪与二次邀约等。
经   验:
1年以上医美咨询相关工作经验。形象佳者可不做经验要求。（提供岗前全面培训）
岗位要求:
1.形象气质佳，五官良好，女生158CM以上；男生172CM以上。
2.性格外向开朗，主动热情，工作效率高，责任心强，有团队精神；
3.良好的销售能力、沟通能力和服务意识。","品牌：专注7秒无痛微整16年
使命：让你老的慢一点，幸福多一点
愿景：成为*微整无痛技术创领者
价值观：口碑至上、极致创新、匠心聚焦、感恩诚信
精神：拉杆箱精神
理念：让100%的顾客，101%的满意！",,,广州承昱医疗投资管理有限公司,医疗/保健/卫生/美容,100-499人,16,9,34月
淘宝客服,6200-8600元/月,求职保障;年底双薪;周末双休;五险一金;饭补;房补;职业培训;朝九晚五;不加班,"招2人;学历不限;经验不限,可接收应届生",广州-番禺-市桥 广州番禺市桥捷进二路11号沙建广场3楼317,"一，作息时间：上午9:00-下午17:00，双休，法定节假日。
二，招聘对象：
1、年满18周岁，高中以上，专业不限，只要踏实，肯学，有上进心；
2、零基础无相关经验也可考虑，只要热爱设计，想掌握一门技能，并往电商美工设计方向发展的；
三，岗位职责：
1.PS、PR、DW、AI等软件运用，抠图修图，文案编辑，优化店内宝贝描述，美化产品图片，视频采集、剪辑、制作等
2.店招海报设计，首页排版，详情页制作，网店后台装修，店铺视觉创意，色彩管理等。
3.直通车推广，钻展、聚划算图片打造，活动报名、排名搜索等工具，熟练操作产品上下架、店铺管理，SEO优化以及后期店铺推广。
4.手机端店铺设计装修制作。
四，任职资格：
1.0基础无经验者可从学徒做起，学徒期约25个工作日（具体看个人接收能力，学会为止），学徒期间享有1000元生活补贴，有资深美工设计师带领，以实战为主，所有技能训练都在线上店铺内实操完成。
2.学徒期结束正式上岗，因为之前没有相关经验，试用期一个月，薪资3500左右（提成另算），转正后4000起，薪资每年会增加500-1000元/月，技能行业，工作经验越久薪资待遇越高。没有任何电商美工设计经验或基础薄弱者，我们也会让你成为一个合格的电商美工设计师。学历不是主要的，我们看重的是你的能力。
五，薪资待遇：
技术类行业主要看实际能力，薪资=底薪+福利+奖金+提成：薪资在5000-8000/月","我们公司是做电商美工网店设计公司，有自己的平台网店，并致力于电商设计企业，专注于电商网站的视觉风格设计，目前企业拥有大批优秀人才，全力打造电子商务服务平台，为员工提供舒适、良好的工作环境，和可观的薪资待遇，工作时间：早9晚5不加班，单双休，提供吃住、欢迎加入！休息时间请投递简历，公司hr会尽快联系您，非诚勿扰！以后也是电子商务的时代了，我在想如果想要不被社会所淘汰，在这个新兴的行业里，也要有自己的一席之地。
我们公司是做电商美工网店设计公司，有自己的平台网店，并致力于电商设计企业，专注于电商网站的视觉风格设计，目前企业拥有大批优秀人才，全力打造电子商务服务平台，为员工提供舒适、良好的工作环境，和可观的薪资待遇，工作时间：早9晚5不加班，单双休，提供吃住、欢迎加入！休息时间请投递简历，公司hr会尽快联系您，非诚勿扰！以后也是电子商务的时代了，我在想如果想要不被社会所淘汰，在这个新兴的行业里，也要有自己的一席之地。",免费试听;包就业;推荐就业;小班授课;面对面;名师授课;高薪就业;线下授课;广州番禺市桥捷进二路11号沙建广场3楼317,"杭州自品科技有限公司,成立日期:2017年03月20日,创建于西湖区,经营范围:技术开发、技术服务、技术咨询、成果转让：计算机软硬件、网络信息技术；服务：网页设计，设计、制作、发布国内广告（除网络广告发布），成年人的非证书劳动职业技能培训（涉及前置审批的项目除外），企业管理咨询；批发、零售：计算机软硬件，电子产品（除专控），电子元器件，办公自动化设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,企业注册地址:浙江省杭州经济技术开发区上沙路228号中沙金座1幢1506室;诚挚邀请您的加入！——数据来源58同城招聘",义乌市羿帆信息科技有限公司,其他行业,1-49人,-1,44,2月
销售代表,4000-8000元/月,包吃;包住;话补;交通补助;年底双薪;周末双休;加班补助;饭补;房补;提成;奖金;年终奖,"招10人;学历不限;经验不限,可接收应届生",广州-白云-嘉禾望岗 广州白云区清湖村,"工作内容：
1、公司提供电话资源进行电话销售并促成订单
2、公司有专业的培训讲师对产品的全面培训
职位要求：
1、工资待遇：无责任底薪3000+高提成10-15个点（包吃包住）
2、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧、有亲和力；
3、具备一定的市场分析及判断能力，良好的客户服务意识；
4、有责任心；
5、可接受应界毕业生。
工作时间：
8:30-12:0013:30-18:00（一天八小时，月休四天）
工作地点：
广东省广州市白云区均禾街清湖苏元庄亿方（广州地铁3号机场北线嘉和望岗下站，转739公交车到达终点站。
工资待遇：底薪3000（无责）+2000（有责）+包住+提成
公司介绍：
广州亿方塑胶制品有限公司是家集婴儿用品专业设计、研发、生产、销售、贸易为一体的较新科研技术、知识密集型企业，公司主要生产高级婴儿用品、奶瓶、奶嘴、PPSU奶瓶、PP奶瓶、硅胶奶瓶、玻璃奶瓶、防胀气奶瓶、自动流量奶瓶、保温奶
瓶、智教奶瓶、安抚奶嘴、学饮杯、料理匙、牙胶、哺喂碗、口腔机能训练器、训练牙刷、玩具、婴儿服饰、婴儿用湿纸巾、纸尿裤、婴儿用护肤品等婴儿日用品系列产品。本公司投资规模宏大，资产实力雄厚，公司采用香港、日本、德国较先进科研技术设备精制而成，技术力量雄厚，采用高科研技术生产经营模式，具有较强
设计操作能力和管理能力，严格执行操作规程，加强生产管理确保产品质量。
公司成立时间：2005公司人数：50-200","广州亿方塑胶制品有限公司是集专业、开发、生产、销售为一体的较新科研技术、知识密集型企业。产品原材料采用高级进口PP、PPSU、硅胶、高硼硅PA等原材料，不含双酚A，印刷油墨均采用日本进口环保型油墨，不含铅、锘，产品符合欧洲CE标准和美国FDA标准并且通过国家QS认证;
09年创立了新优怡品牌;
13年创立了康尼宝贝品牌
江西煌唛实业有限公司成立于2016年9月22日;
本公司是亿方香港集团有限公司旗下的子公司;
本集团公司旗下有婴儿用品厂、塑胶制品厂、橡胶厂、玻璃制品厂、野山茶油厂;
集团公司旗下自主品牌有、（新优怡）（康尼宝贝）（爱益宝）（好口福）（AOKI）具有五大品牌、公司专业生产销售母婴产品及用品，配备先进的生产设备、选用优质原料，以较优良的产品奉献给广大客户;
公司主要生产加工产品有、母婴用品、成人用品、农副产品、橡胶制品、茶油、菜籽油、有野山基地千余亩、具有多元化的产业链、本公司打造具有千余人的团队、公司有自主研发、设计、生产制造、贸易，销售为一体的大型企业.",,,广州市亿方塑胶制品有限公司,原材料和加工,100-499人,37,81,24月
传菜员,4300-8000元/月,包吃;包住;五险一金;免费提供被褥、空;宿舍有热水、电脑;法定假日三倍薪资,"招35人;学历不限;经验不限,可接收应届生",广州-增城 广州增城东汇城海底捞,"【公司介绍】
海底捞火锅品牌创立于1994年，是一家以经营川味火锅为主，融汇各地火锅特色于一体的大型跨国直营餐饮民营企业。公司始终秉承“服务至上、顾客至上”的理念，以创新为核心，改变传统的标准化、单一化的服务，提倡个性化的特色服务，致力于为顾客提供愉悦的用餐服务；在管理上，倡导“双手改变命运”的价值观，为员工创建公平公正的工作环境，实施人性化和亲情化的管理模式，提升员工价值。
二十多年来，公司已在北京、上海、西安、郑州、沈阳、南京、天津、杭州、深圳、武汉、苏州等100多个城市拥有多家直营餐厅。
【职位描述】
一、【招聘岗位】
服务员、传菜员、后厨、保洁、洗碗、实习生等
二、【职位要求】
1．18-45周岁，学历不限；
2．身体状况符合国家餐饮行业标准要求；
3．无不良嗜好和记录，无明显纹身；
三、【薪资标准】
肇庆海底捞全勤每月保底工资3300元，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，根据不同的城市，员工薪资有所不同，普通员工较高可以拿到8000元/月(税前)，包食宿（入职培训期间除外）。
四、【福利待遇】
1．正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；享受五险，工作满半年公司给予报销办理健康证费用；
2．员工在公司连续工作满一年，可享受带薪年休假，并报销家庭地址到工作地点的往返硬座火车票及汽车票；
3．达到一定条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴/公积金；
4．凡在公司工作满三年的员工其子女可享受2000-5000元/年不等的教育补贴；
5．大堂经理级别员工父母可享受400元/月的父母补贴；店经理级别父母可享受1600元/月的父母补贴；
6．普通员工英才补贴计划（凭全日制本科毕业证书）：普通高等院校本科生（含海外本科院校）毕业入职可享受补贴1200-2000元/月，补贴6个月（店长助理不享受此补贴）。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（财务管理部、技术管理部、信息管理部、采购管理部、战略事务部等）；
途径三：海底捞下属分子公司（蜀海公司、颐海公司、微海公司）等。
六、【面试地址及乘车路线】
面试地址一：广州市增城区观翠路21号东汇城海底捞）(面试请携带本人第二代身份证)。","海底捞火锅品牌创立于1994年，是一家以经营川味火锅为主，融汇各地火锅特色于一体的大型跨国直营餐饮民营企业。公司始终秉承“服务至上、顾客至上”的理念，以创新为核心，改变传统的标准化、单一化的服务，提倡个性化的特色服务，致力于为顾客提供愉悦的用餐服务；在管理上，倡导“双手改变命运”的价值观，为员工创建公平公正的工作环境，实施人性化和亲情化的管理模式，提升员工价值。
二十多年来，公司已在北京、上海、西安、郑州、沈阳、南京、天津、杭州、深圳、武汉、苏州等200多个城市拥有多家直营餐厅。",,,宁波海底捞餐饮管理有限公司（海底捞）,娱乐休闲/餐饮/服务,1000人以上,98,94,62月
网站运营,4000-8000元/月,五险一金;包住;年底双薪;房补;八险一金;出国旅游,"招8人;学历不限;经验不限,可接收应届生",广州-番禺-南村镇 广东省广州市番禺区南村镇华南碧桂园碧华坊碧华商业2街18号铺,"岗位职责：
1、运营公司平台，发布及更新房源信息，提高平台曝光率；
2、负责与客户沟通，回复客户咨询的的问题；
3、将有意向的客户资料转交给销售部的同事跟进；
（不需要外出，写字楼或门店办公）
福利：
1、薪资：底薪3500+提成35%---77%+现金奖0.5k---5k+住房补贴；
2、待遇：每周六天，月休4天，可调休；享受国家法定节假日，带薪年假、每月12号发放工资；购买八险一金（入职购买）；
3、90后团队，工作氛围超nice，员工聚餐，不定期团建，更有公费国内外旅游等你来挑战；
4、办公环境：全空调工作环境，独立卡座，配电脑；提供微波炉、冰箱等器具；
5、巨长的春节年假，足够你回家过大年；
任职资格：
1、18--35岁，男女不限；
2、性格开朗，打字熟练，能承受一定的工作压力；
3、相关行业工作者优先，应届生也可以；
工作地址：可就近安排","广东中原地产代理有限公司为香港中原集团成员，创办于1994年9月。经过10余年的稳步发展，一直活跃于广州市的房地产领域，为当地房地产发展商、投资者及广大客户提供全面而周到的优质服务。
广东中原地产的业务涵盖一、二手房地产市场，包括一手项目的可行性研究分析、市场定位、推广、营销策划及销售；二手居间买卖及租赁、物业评估/放盘、物业按揭/抵押等服务。广东中原地产的直营地铺分行，遍布全市各区重要的地产成交活跃地段，目前分行网点约300间、聘用员工近7000人，遍布全市各区重要的地产成交活跃地段，运用广设地铺、扩大网络的经营方式，于行内已建立强大的业务基础，取得了有目共睹的成绩。
广东中原秉承“不炒楼、不食价、公开资讯、公平交易”的服务宗旨，以顾客至上、专业诚恳的专注务实态度，精心打造出“皇牌代理，信心标记”的品牌形象，成为广州市同行业内享有盛誉的出色专业地产代理皇牌。
良好的信誉，优质的服务使公司连续多年被评为一级资质地产中介公司，并获主流媒体颁发“十大较受欢迎”、“羊城十佳诚信经营”等奖项，近年更获得“商铺专家”“羊城阳光中介较佳营销策划”“羊城新兴区域阳光中介”等殊荣，并被授予“守合同重信用企业”称号。
中原地产的成功必须建筑在客户成功的基础上，这是中原地产的经营理念，而在管理上，广州中原奉行“以人为本”——为员工营造较佳的工作条件，让员工无限发挥其个人潜能的管理理念。为树立企业的专业形象及严谨的办事作风，确保为客户提供优质的服务，各部门组织架构力求简单直接，方便员工各抒己见，沟通无间；对利益分配力求公平、合理、透明，令员工时刻保持高昂士气及积极性；对各员工的权责分工力求清晰明确、仔细，让同事充分发挥个人无穷创意及团队合作精神。
公司荣誉：
一、连续八年荣获“守合同重信用企业”
二、荣获“广州市十大较受欢迎地产中介公司”
三、荣获“广州市十大诚信经营地产中介公司”
四、荣获“羊城十佳阳光经营中介公司",,,广东中原地产代理有限公司,中介/专业服务+互联网/电子商务+房地产/物业管理,1000人以上,77,11,7月
送餐员,6500-12000元/月,五险一金;加班补助;交通补助;饭补;话补;房补;周末双休;年底双薪;包住,"招20人;学历不限;经验不限,可接收应届生",广州-黄埔 广州市黄埔区就近安排,"一、任职要求：
1、18-45周岁，身体健康，能办理健康证，对服务行业充满热情；
2、亲和力较强、吃苦耐劳、人品端正、为客户提供安全、及时、准确、优质的送餐服务；
3、自带智能手机（会看手机导航）、交通工具（送餐范围3公里内）；
二、公司福利：
1、公司提供手机卡，套餐内容：省内无限流量、300分钟免费通话；
2、提供购买交通工具的渠道；或者租车。
3、高额单量提成+福利津贴（车补、话补、饭补、房补、充电补、大金额补贴及高温补贴）+保险；
4、部分站点可以提供住宿（注：不包吃住）
三、单量提成：
401-500单8元/单；小打小闹6000左右；
501-650单8.5元/单；小有压力8000左右；
651以上9元/单；生活所迫10000以上；（宵夜阶段每单补贴2元）
多劳多得，你的收入完全取决于你自己的能力，没有拼爹，拼的是你自己的实力。
（注：不同区域的单价提成有些小区别，详细的可以来咨询了解）
四、晋升机制：
1、定期为员工进行培训；
2、公司处于发展期，优秀员工可晋升：骑士--组长--站长--督导--经理
工作地址：（各大区均有工作站点）有意者可以主动联系！！",普罗威登（广州）酒店管理有限公司是由白天鹅酒店管理有限公司提供顾问咨询的一家中高端精品商务酒店，酒店预计设客房177间，同时配套健身房、会议室、餐厅等，是一家新建筹备中的酒店。现面向社会广招人才，只要您有梦想，敢实现，我们将提供优质平台供各位有志之士发展。,,,普罗威登（广州）酒店管理有限公司,旅游/酒店,1-49人,86,52,11月
主持人,10000-15000元/月,五险一金;包住;加班补助;包吃;交通补助;话补,"招2人;学历不限;1年以下,可接收应届生",广州-白云-永泰 广东省广州市白云区白云大道北1382号,"岗位职责：
配合并协助节目策划、组织、准备及维护，按照计划，控制节目进程，调度现场出现的意外状况。
任职资格：
1、播音或主持等相关专业专科以上学历；
2、有主持工作经验，能根据主持现场的气氛即兴发挥，调动全场的气氛。
3、形象好气质佳，身高160cm以上，年龄28岁以内，普通话标准，口齿伶俐，思维敏捷，较强的记忆力和的应变能力；
月薪过万，可供食宿。",广告业;大型活动组织策划服务（大型活动指晚会、运动会、庆典、艺术和模特大赛、艺术节、电影节及公益演出、展览等，需专项审批的活动应在取得审批后方可经营）;市场营销策划服务;文化艺术咨询服务;会议及展览服务;人力资源外包;文艺创作服务;多媒体设计服务;摄影服务;文化娱乐经纪人,,,广州天娱传媒有限公司,娱乐休闲/餐饮/服务,100-499人,46,10,2月
美容/瘦身顾问,6000-12000元/月,年底双薪;话补;交通补助;加班补助,"招20人;学历不限;经验不限,可接收应届生",广州-天河-东圃 广州市天河区东圃黄村大观南路18号挚晟商务中心A座,"招聘底薪3000加提成20%以上
1主要岗位：电话客服偏向销售
2岗位职责：通过电话和客户沟通交流联系客户进行成交销售
3工作地点：广州市天河区黄村
4上班时间：
9:00—18：30（中午午休90分钟）
月休4天，可自由调休
5公司福利：
a.每天都有日奖励，周奖励，月奖励（都是现金奖励，不算工资里，都是日结，周结，月结）
b.每周都有下午茶
c.每月都有月聚餐
d.法定节假日带薪休假
e.公司不加班准时下班！
有意者，随时联系！","药学研究服务;医疗技术研发;基因药物研发;药品研发;健康科学项目研究、开发;养生学的研究开发及技术转让;投资咨询服务;医疗用品及器材零售(不含药品及医疗器械);消毒用品销售(涉及许可经营的项目除外);为医疗器械、设备、医疗卫生材料及用品提供专业清洗、消毒和灭菌;商品批发贸易(许可审批类商品除外);互联网商品销售(许可审批类商品除外);商品零售贸易(许可审批类商品除外);互联网商品零售(许可审批类商品除外);非许可类医疗器械经营;智能器械按摩服务(不含许可经营项目,法律法规禁止经营的项目不得经营);办公设备耗材批发;办公设备耗材零售;化妆品及卫生用品批发;化妆品及卫生用品零售;日用杂品综合零售;药品零售;保健食品批发(具体经营项目以《食品经营许可证》为准);保健食品零售(具体经营项目以《食品经营许可证》为准);许可类医疗器械经营;中药材批发;保健按摩;预包装食品批发;预包装食品零售;乳制品批发;乳制品零售;中成药、中药饮片批发;中药饮片零售",,,广州联合医药科技有限公司,医疗/保健/卫生/美容,1-49人,58,8,69月
